event_name,event_date,event_location,fighter_1,fighter_2,winner,weight_class,method,round,time,f1_kd,f1_sig_str,f1_sig_str_percent,f1_total_str,f1_td,f1_td_percent,f1_sub_att,f1_rev,f1_ctrl,f1_sig_str_head,f1_sig_str_body,f1_sig_str_leg,f1_sig_str_distance,f1_sig_str_clinch,f1_sig_str_ground,f2_kd,f2_sig_str,f2_sig_str_percent,f2_total_str,f2_td,f2_td_percent,f2_sub_att,f2_rev,f2_ctrl,f2_sig_str_head,f2_sig_str_body,f2_sig_str_leg,f2_sig_str_distance,f2_sig_str_clinch,f2_sig_str_ground
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Derrick Lewis,Tallison Teixeira,Derrick Lewis,Heavyweight,KO/TKO Punches,1,0:35,1,9 of 17,52%,10 of 21,0 of 0,---,0,0,0:12,52%,8 of 16,1 of 1,0 of 0,2 of 6,1 of 2,0,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:00,60%,3 of 5,0 of 0,0 of 0,3 of 5,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Jake Matthews,Chidi Njokuani,Jake Matthews,Welterweight,SUB Rear Naked Choke,1,1:09,0,3 of 7,42%,5 of 9,1 of 1,100%,1,0,0:29,42%,3 of 7,0 of 0,0 of 0,2 of 5,1 of 2,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,50%,0 of 2,3 of 6,2 of 2,4 of 8,1 of 2
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Gabriel Bonfim,Stephen Thompson,Gabriel Bonfim,Welterweight,S-DEC,3,5:00,0,6 of 24,25%,9 of 28,0 of 0,---,0,1,0:11,25%,1 of 13,3 of 7,2 of 4,6 of 21,0 of 1,0,14 of 24,58%,17 of 28,2 of 3,66%,0,0,1:26,58%,3 of 7,0 of 1,11 of 16,14 of 24,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Fatima Kline,Melissa Martinez,Fatima Kline,Women's Strawweight,KO/TKO Kick,3,2:36,0,32 of 64,50%,32 of 65,0 of 0,---,0,0,0:00,50%,19 of 45,8 of 10,5 of 9,31 of 63,1 of 1,0,17 of 38,44%,17 of 38,0 of 0,---,0,0,0:01,44%,9 of 25,6 of 8,2 of 5,17 of 38,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Mike Davis,Mitch Ramirez,Mike Davis,Lightweight,KO/TKO Punches,2,4:08,0,8 of 18,44%,14 of 25,0 of 1,0%,0,0,0:00,44%,4 of 14,0 of 0,4 of 4,6 of 16,2 of 2,0,3 of 8,37%,13 of 24,1 of 2,50%,2,0,4:20,37%,2 of 5,0 of 1,1 of 2,3 of 8,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Valter Walker,Kennedy Nzechukwu,Valter Walker,Heavyweight,SUB Heel Hook,1,0:54,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:03,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,4 of 11,36%,4 of 11,1 of 2,50%,1,0,0:28,36%,4 of 11,0 of 0,0 of 0,1 of 4,3 of 7
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Eduarda Moura,Lauren Murphy,Eduarda Moura,Women's Flyweight,U-DEC,3,5:00,0,6 of 33,18%,13 of 41,1 of 2,50%,0,0,0:03,18%,6 of 32,0 of 0,0 of 1,6 of 33,0 of 0,0,19 of 58,32%,26 of 68,1 of 1,100%,0,0,1:32,32%,14 of 51,0 of 1,5 of 6,19 of 57,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Chris Curtis,Max Griffin,Chris Curtis,Welterweight,S-DEC,3,5:00,0,21 of 48,43%,22 of 51,0 of 0,---,0,0,0:34,43%,14 of 38,4 of 6,3 of 4,20 of 47,1 of 1,0,8 of 32,25%,11 of 35,0 of 0,---,0,0,0:00,25%,5 of 29,3 of 3,0 of 0,8 of 31,0 of 1
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Tuco Tokkos,Junior Tafa,Tuco Tokkos,Light Heavyweight,SUB Arm Triangle,2,4:25,0,16 of 23,69%,17 of 24,0 of 0,---,0,1,0:12,69%,15 of 22,1 of 1,0 of 0,1 of 5,8 of 8,0,6 of 9,66%,14 of 19,4 of 6,66%,0,0,4:14,66%,3 of 6,0 of 0,3 of 3,3 of 4,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Vitor Petrino,Austen Lane,Vitor Petrino,Heavyweight,SUB Rear Naked Choke,1,4:16,0,3 of 6,50%,17 of 22,1 of 1,100%,2,0,3:03,50%,2 of 4,0 of 0,1 of 2,1 of 2,0 of 0,0,3 of 4,75%,3 of 4,0 of 0,---,0,0,0:00,75%,0 of 0,1 of 2,2 of 2,3 of 4,0 of 0
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Morgan Charriere,Nate Landwehr,Morgan Charriere,Featherweight,KO/TKO Punch,3,0:27,0,18 of 46,39%,20 of 49,0 of 0,---,0,0,0:22,39%,14 of 40,3 of 3,1 of 3,18 of 45,0 of 1,0,27 of 43,62%,27 of 43,2 of 5,40%,0,0,1:01,62%,14 of 29,3 of 3,10 of 11,25 of 41,2 of 2
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",Steve Garcia,Calvin Kattar,Steve Garcia,Featherweight,U-DEC,3,5:00,0,8 of 26,30%,8 of 26,0 of 0,---,0,0,0:00,30%,4 of 22,2 of 2,2 of 2,8 of 26,0 of 0,0,22 of 71,30%,22 of 71,0 of 0,---,0,0,0:00,30%,11 of 53,5 of 10,6 of 8,22 of 71,0 of 0
UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",Jose Delgado,Hyder Amil,Jose Delgado,Featherweight,KO/TKO Knee,1,0:26,0,3 of 5,60%,3 of 5,0 of 1,0%,0,0,0:00,60%,0 of 2,0 of 0,3 of 3,3 of 5,0 of 0,1,9 of 11,81%,9 of 11,0 of 1,0%,0,0,0:02,81%,7 of 9,2 of 2,0 of 0,4 of 5,2 of 3
UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",Jhonata Diniz,Alvin Hines,Jhonata Diniz,Heavyweight,U-DEC,3,5:00,0,32 of 55,58%,32 of 55,0 of 0,---,0,0,0:00,58%,26 of 48,1 of 2,5 of 5,31 of 52,1 of 3,0,25 of 82,30%,26 of 83,1 of 2,50%,0,0,0:05,30%,18 of 74,6 of 7,1 of 1,24 of 80,1 of 2
UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",Jacobe Smith,Niko Price,Jacobe Smith,Welterweight,SUB Rear Naked Choke,2,4:03,0,19 of 37,51%,23 of 42,0 of 2,0%,0,0,0:00,51%,10 of 26,3 of 5,6 of 6,17 of 34,1 of 1,0,33 of 53,62%,46 of 66,1 of 1,100%,0,0,3:06,62%,27 of 46,3 of 4,3 of 3,17 of 31,1 of 1
